b00,b01,b02,b03,b04,b05,b06,b07,b10,b11,b12,b13,b14,b15,b16,b17,b20,b21,b22,b23,b24,b25,b26,b27,hand_me,hand_enemy,board_me,board_enemy,solution
0,0,0,2,0,0,0,1,0,2,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,3,167
1,2,0,2,0,0,1,0,1,2,0,2,1,0,0,0,0,1,2,0,0,0,1,0,0,0,6,5,455
2,0,0,0,0,0,0,0,1,1,1,1,2,2,1,0,2,0,0,1,0,2,2,1,1,1,7,6,88
0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8,7,1,2,13
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,2,1,2,0,0,5,4,311
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,2,0,1,2,1,0,2,0,0,6,4,199
2,0,0,0,2,1,2,1,1,2,0,0,1,1,2,1,0,2,2,1,2,2,0,0,0,0,7,9,552
2,1,0,0,2,0,0,2,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,3,5,68
0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,2,1,2,0,0,0,3,4,174
0,2,0,2,2,2,0,2,1,1,1,0,2,0,0,1,0,0,0,0,2,0,1,2,0,0,5,8,552
2,0,2,0,2,2,1,1,1,1,1,1,0,2,1,0,2,0,0,0,2,0,0,0,0,0,7,7,575
0,0,1,2,1,1,2,0,1,1,2,2,0,2,1,2,0,0,0,0,2,0,0,1,1,1,7,7,17
0,2,0,0,1,1,0,2,0,0,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,3,6,242
0,1,2,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,5,4,376
0,2,0,2,1,0,0,1,2,1,0,1,2,1,2,2,0,0,0,0,1,1,2,0,0,0,7,7,199
0,2,0,0,1,2,0,0,0,0,1,0,1,1,0,2,0,1,0,1,0,1,1,1,0,0,9,3,119
1,2,0,0,0,0,0,0,0,2,2,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,4,5,480
2,0,1,0,2,0,0,0,0,2,0,0,1,2,1,1,1,1,0,0,2,2,0,1,1,1,7,6,449
2,0,1,0,0,0,2,0,0,2,0,0,2,1,0,2,0,0,0,2,1,2,0,1,0,0,4,7,280
2,0,2,2,2,0,0,0,0,1,0,2,1,1,1,0,0,2,1,1,2,0,0,0,0,0,6,7,328
1,1,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,2,0,0,0,2,0,1,4,4,5,4,17
0,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,1,1,1,1,1,0,1,2,0,0,9,3,575
0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,3,4,436
1,2,0,0,2,1,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,6,3,455
0,0,1,2,1,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,7,3,185
0,2,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,3,4,292
1,0,0,2,0,0,2,1,0,0,1,2,2,0,0,0,2,0,2,0,0,2,0,0,0,0,3,7,370
0,0,0,0,1,0,0,0,2,1,0,0,0,2,1,0,1,0,2,0,0,0,2,1,0,0,5,4,520
2,0,1,0,2,1,0,0,2,0,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,6,4,383
0,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,3,424
2,2,2,0,2,1,0,1,2,2,0,0,0,1,2,1,0,0,0,0,0,2,2,0,0,0,4,9,431
1,2,1,2,1,0,2,0,0,2,1,0,0,0,0,1,1,1,0,2,0,2,0,0,2,2,7,6,3
0,0,0,0,0,2,0,0,2,1,1,1,0,0,0,0,2,0,0,2,0,2,0,2,0,0,3,6,374
1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,0,0,0,3,4,25
0,0,0,0,2,0,0,1,2,0,1,2,1,1,1,0,0,0,0,2,0,0,1,0,0,0,6,4,95
0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,2,0,0,7,6,2,3,20
2,1,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,562
2,1,0,0,2,0,1,2,1,1,1,2,2,1,0,2,1,2,0,2,1,2,0,0,1,0,8,9,266
0,1,2,2,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,4,434
1,1,0,0,1,0,0,0,1,0,1,2,1,1,1,0,2,0,0,2,1,0,0,0,0,0,9,3,240
1,2,2,2,1,0,2,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,7,244
0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,2,2,1,0,0,0,4,3,504
1,2,2,0,2,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,2,2,1,0,0,3,8,376
2,0,0,1,0,0,1,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,5,4,2,5,23
0,2,0,0,1,0,0,0,1,1,1,0,2,1,1,0,1,2,1,2,0,2,0,0,0,0,8,5,96
0,1,0,0,2,0,2,2,2,1,1,1,0,0,0,0,0,0,0,1,2,0,2,0,3,2,5,6,19
0,1,2,0,0,0,0,1,0,1,0,2,0,2,1,1,0,0,1,1,1,2,2,2,0,0,8,6,360
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,0,7,7,2,2,14
0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,7,2,2,3
0,0,2,2,0,1,2,0,0,1,2,1,2,2,0,2,2,0,2,0,1,0,1,0,0,0,5,9,144
1,2,2,0,1,0,1,2,0,1,2,0,1,2,1,1,2,0,0,1,0,2,2,2,0,0,8,9,239
0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,2,2,0,0,0,4,3,551
0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,1,0,0,2,0,0,0,3,5,338
0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,4,3,479
0,2,0,2,0,2,0,1,0,2,1,1,1,1,0,1,2,2,1,1,0,0,0,1,0,0,9,6,119
1,2,0,2,0,0,0,2,0,1,2,0,0,1,0,0,1,0,2,2,2,1,2,0,0,0,5,8,287
2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,6,6,3,3,557
1,0,0,0,2,0,0,0,2,1,2,0,1,2,1,0,0,1,0,0,0,1,0,2,3,2,6,5,22
0,0,0,0,0,0,2,2,0,0,0,1,0,2,0,0,2,2,2,1,1,1,2,0,0,0,4,7,168
2,2,1,0,1,2,1,0,1,0,2,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,6,6,247
0,0,0,0,0,0,2,2,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,340
1,1,1,0,0,1,0,0,2,0,0,0,1,0,0,1,1,0,0,2,0,0,2,0,0,0,7,3,480
0,0,0,1,2,1,0,0,0,0,1,0,0,2,0,0,1,0,1,2,2,0,2,0,4,3,5,5,22
2,0,0,2,1,0,0,0,1,1,2,0,1,0,0,0,2,1,2,1,0,2,0,0,1,1,6,6,1
0,2,0,1,1,1,0,2,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,5,5,551
1,0,2,2,0,1,0,0,0,0,1,2,1,0,1,0,2,0,1,1,1,1,0,0,0,0,9,4,311
0,1,0,2,0,0,2,0,0,2,0,2,0,2,0,1,1,1,0,0,2,0,0,2,0,0,4,7,520
2,1,0,0,2,0,1,0,0,2,1,2,0,0,1,1,0,0,2,2,0,2,1,1,0,0,7,7,48
0,1,2,0,0,1,0,2,1,1,1,1,0,1,2,2,0,0,2,0,0,2,1,2,0,0,8,7,263
2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,0,0,2,1,0,1,0,1,0,0,5,4,424
2,0,0,0,0,0,2,2,0,0,1,2,0,2,1,2,2,2,0,1,1,1,0,0,0,0,5,8,96
0,1,0,0,1,0,0,0,0,1,1,1,0,2,0,0,0,2,0,1,1,0,2,0,0,0,7,3,383
0,1,0,1,2,1,0,2,1,0,2,1,2,2,1,0,2,1,1,0,2,0,2,1,0,0,9,8,359
0,0,1,1,0,0,0,1,0,2,0,1,0,0,0,1,0,2,0,1,2,2,1,1,0,0,8,4,431
2,2,1,1,1,1,0,2,0,1,2,2,0,1,0,0,0,0,1,0,1,2,1,0,0,0,9,6,143
0,1,0,0,2,1,0,1,0,2,1,0,1,2,2,2,1,2,2,1,2,1,2,1,0,0,9,9,48
2,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,4,3,199
0,1,0,1,1,1,0,2,2,2,1,0,0,0,0,2,0,1,0,1,0,1,2,0,0,0,8,5,264
2,0,1,2,0,0,0,0,2,2,0,0,0,2,0,0,2,2,2,0,1,1,1,1,0,0,5,8,119
0,2,1,2,2,2,2,0,2,0,1,1,2,1,2,1,0,0,2,1,1,0,0,0,0,0,7,9,328
1,2,2,2,1,0,2,2,2,2,1,1,1,1,2,0,1,0,2,0,0,0,0,1,0,0,8,9,520
0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,7,7,2,2,11
0,0,0,2,0,2,0,0,0,1,1,0,0,2,1,1,1,1,1,0,1,2,1,2,0,0,9,5,552
0,0,0,0,0,0,0,0,2,1,1,1,2,0,0,0,0,1,0,1,0,2,0,2,0,0,5,4,328
2,0,0,0,2,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,2,2,0,4,3,4,5,4
0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0,0,3,4,74
0,0,1,0,1,2,0,1,0,0,2,0,0,2,0,1,0,0,0,0,2,0,2,0,0,0,4,5,71
0,1,2,1,0,1,1,0,1,2,2,2,2,1,0,2,0,0,0,2,1,0,0,0,0,0,7,7,280
2,2,1,0,2,1,0,0,0,0,1,2,0,1,0,0,2,0,1,1,1,1,0,1,0,0,9,5,328
1,1,2,1,1,2,2,2,1,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,8,21
0,0,1,2,2,2,2,1,0,0,0,2,1,1,1,0,1,0,0,0,2,2,0,0,0,0,6,7,96
0,0,0,2,2,2,2,1,0,0,1,0,0,1,0,1,0,0,2,0,2,0,0,0,4,3,4,6,13
0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,2,2,0,1,0,0,0,0,0,0,4,3,431
0,0,1,0,0,0,0,0,0,2,0,1,0,2,1,0,0,1,1,0,0,0,1,2,0,0,6,3,359
2,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0,1,2,1,1,0,2,0,0,3,3,6,5,146
2,0,0,1,2,0,2,1,0,1,2,1,0,0,0,2,0,0,0,2,0,2,2,1,0,0,5,8,119
2,1,0,0,0,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,4,3,167
0,0,1,0,1,2,0,0,0,1,0,2,1,2,2,0,1,0,1,2,2,2,2,2,1,0,6,9,16
0,1,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,4,3,503
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,7,7,2,2,22
0,0,0,1,2,0,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,6,5,2,4,11
1,0,0,2,0,0,0,1,2,1,0,1,1,1,0,2,2,0,0,1,0,2,0,1,0,0,8,5,119
0,0,1,0,0,0,0,0,2,1,1,2,2,1,2,0,0,0,0,1,0,2,2,2,3,2,5,7,10
0,0,1,2,0,0,1,1,0,1,2,0,1,1,1,0,0,0,2,2,0,2,0,1,0,0,8,5,71
2,0,0,0,2,0,1,2,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,4,4,391
0,0,0,0,2,1,0,0,0,0,1,0,2,2,0,0,2,0,0,0,1,0,0,0,0,0,3,4,313
2,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,3,119
1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,2,0,1,0,0,2,1,0,0,7,3,119
0,0,0,1,1,1,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,4,264
1,2,0,1,1,1,1,2,1,0,2,2,0,0,0,0,0,2,0,1,0,0,0,2,0,0,7,6,264
0,0,0,0,0,1,0,2,0,2,0,0,1,1,1,0,0,0,0,1,0,1,1,2,0,0,7,3,335
1,1,2,0,0,0,1,0,1,0,0,0,1,1,1,2,0,1,0,0,0,0,2,0,0,0,8,3,96
0,0,2,1,2,0,2,1,1,0,1,0,0,2,0,1,0,0,1,2,0,0,2,0,3,2,6,6,21
0,0,1,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,2,1,1,2,0,0,0,5,5,456
2,1,1,0,2,2,1,1,0,0,2,2,0,0,1,2,1,2,0,1,0,0,0,0,0,0,7,7,432
1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,2,5,4,3,3,15
2,0,0,1,0,0,2,1,0,0,2,2,1,2,2,2,2,1,2,1,1,0,1,0,0,0,7,9,432
2,0,0,2,0,0,0,0,0,2,2,0,1,0,0,2,2,0,2,1,0,1,2,0,0,0,3,8,483
1,0,1,2,2,0,0,0,0,1,2,0,1,2,0,2,1,0,0,1,1,1,0,0,0,0,8,5,167
0,2,1,1,1,1,2,2,2,1,2,0,0,1,2,0,0,1,1,2,2,0,0,0,0,0,8,8,503
1,1,1,0,2,0,0,0,0,0,1,1,0,1,2,2,0,2,0,0,0,1,1,1,0,0,9,4,30
0,2,0,2,1,2,2,1,0,1,2,0,0,2,1,0,2,0,2,1,2,0,1,0,1,0,6,9,0
2,2,2,0,0,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,5,263
1,2,0,0,0,2,0,0,2,1,2,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,5,5,96
0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,3,3,308
0,0,0,1,2,1,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,1,5,4,3,5,3
2,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,1,0,0,6,6,3,3,5
0,0,2,1,0,0,0,2,0,0,1,0,0,0,2,0,0,1,1,0,0,1,2,0,0,0,5,4,504
0,2,0,0,1,1,0,0,0,2,2,0,2,0,2,2,0,0,2,2,2,0,1,0,0,0,3,9,146
0,1,0,0,1,0,0,1,0,2,0,2,2,1,2,1,1,1,2,2,2,0,0,0,0,0,7,7,431
0,1,0,0,1,0,0,1,0,0,0,2,1,1,1,1,2,0,1,0,2,0,1,0,0,0,9,3,48
2,1,1,0,1,0,1,1,1,1,0,0,1,2,2,0,2,1,2,0,0,2,0,0,0,0,9,6,414
0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,2,1,0,0,0,0,0,3,4,521
0,0,0,0,1,2,0,0,0,1,1,1,1,2,1,0,0,0,1,1,2,2,0,0,0,0,8,4,377
0,2,0,0,0,2,0,0,0,0,0,1,0,1,2,0,2,0,0,2,2,0,1,2,0,0,3,7,555
0,2,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,3,4,263
0,2,0,1,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,4,101
1,1,1,0,2,0,2,0,0,2,1,1,0,0,1,2,1,0,2,1,0,2,2,1,0,0,9,7,103
0,0,0,0,0,0,2,0,2,0,0,0,1,0,2,0,1,2,1,0,0,0,0,0,0,0,3,4,351
1,0,2,0,1,1,0,1,0,0,1,0,0,2,0,2,1,2,0,2,2,0,2,0,0,0,6,7,24
1,1,1,1,0,1,0,0,2,1,2,0,1,2,1,2,1,2,0,2,0,2,0,2,0,0,9,8,55
2,0,1,2,2,0,0,1,0,1,1,2,2,2,0,0,0,0,0,0,0,1,2,0,0,0,5,7,383
2,1,0,0,0,0,0,1,0,0,1,0,2,2,0,1,0,0,0,2,0,0,0,2,0,0,4,5,391
2,1,0,0,1,0,1,1,1,1,2,0,0,0,0,2,1,2,0,0,0,2,0,0,2,2,7,5,5
0,0,0,2,1,0,2,1,0,0,1,1,0,1,2,0,2,0,2,1,2,1,0,2,0,0,7,7,168
2,2,1,0,1,0,0,0,0,2,1,0,0,0,1,2,1,0,2,1,0,2,1,1,0,0,8,6,103
2,0,0,0,2,1,0,0,0,2,0,0,1,2,1,0,0,0,0,0,1,2,0,0,1,1,4,5,14
2,2,0,2,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,5,531
1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,1,0,0,0,4,4,168
2,0,0,1,2,2,0,0,0,1,1,2,0,2,0,1,0,0,1,0,0,2,0,0,1,1,5,6,2
1,2,1,0,0,2,0,0,2,2,0,0,1,2,2,0,0,0,0,2,2,1,2,0,0,0,4,9,480
1,1,0,2,0,2,2,2,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,6,55
2,0,0,0,1,2,2,0,2,2,0,2,2,0,1,0,2,1,0,0,1,0,2,0,0,0,4,9,247
0,2,1,0,0,0,0,2,1,1,1,1,2,0,0,0,0,2,0,0,0,2,0,0,0,0,5,5,377
2,2,0,1,0,0,0,0,2,0,1,0,2,0,0,2,0,0,1,0,0,0,0,0,3,3,3,5,13
0,0,0,0,0,1,1,2,0,1,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,3,4,260
0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,3,3,230
1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,7,1,2,19
0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,7,2,2,12
0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,2,1,2,1,2,1,0,0,0,0,3,7,172
0,2,0,0,1,0,0,2,1,2,2,2,1,0,1,0,0,0,0,2,1,0,2,0,1,1,5,7,289
0,2,0,0,1,2,2,1,0,0,2,0,0,1,2,1,2,2,0,1,2,0,0,0,0,0,5,8,552
2,1,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,448
0,2,0,1,1,0,0,2,0,2,2,1,2,0,0,1,0,0,1,2,0,2,1,0,0,0,6,7,569
1,0,0,0,2,0,0,2,2,1,0,2,0,1,0,2,1,0,0,1,2,1,0,0,0,0,6,6,167
0,0,2,0,1,0,0,1,0,1,1,1,1,0,2,2,0,0,2,0,0,0,2,2,0,0,6,6,479
2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,2,0,0,1,0,2,2,0,4,3,5,5,20
2,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,1,0,1,2,0,0,3,7,310
0,1,1,2,2,1,0,2,2,2,1,0,0,2,0,2,2,0,1,1,1,0,1,1,0,0,9,8,144
0,0,0,1,1,1,2,2,2,1,0,2,0,0,0,1,0,0,2,2,0,0,1,0,0,0,6,6,264
2,0,0,1,0,1,0,0,0,1,2,0,0,2,1,1,1,1,2,0,2,2,2,0,2,1,7,7,13
2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,3,370
0,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,3,3,393
0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4,3,240
2,1,0,0,0,0,0,2,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,5,4,4,3,9
2,1,0,0,2,0,1,2,0,2,0,0,0,0,0,2,1,0,2,1,1,2,2,1,2,1,6,8,15
0,1,0,0,2,2,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,1,1,1,0,0,6,4,151
0,0,0,0,1,0,1,0,0,0,1,2,0,2,0,0,1,2,1,0,1,2,1,0,0,0,7,4,239
1,0,0,0,1,0,1,1,0,2,1,2,1,0,0,2,1,0,2,1,0,1,0,2,0,0,9,5,24
1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,2,2,0,0,2,0,1,1,0,3,3,6,4,20
0,0,0,2,0,1,0,0,2,1,0,1,1,1,2,0,1,0,2,0,1,0,0,2,0,0,7,5,312
0,0,2,2,1,0,0,0,2,1,0,2,1,2,2,0,1,0,2,1,1,0,2,1,0,0,7,8,199
0,0,0,0,2,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,3,119
0,0,0,2,1,0,0,0,0,2,2,0,1,0,0,2,2,2,2,0,0,1,1,0,0,0,4,7,479
0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,4,3,48
0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,7,6,2,3,13
1,2,0,0,1,2,2,1,2,0,2,1,2,1,2,1,2,2,0,1,0,1,0,1,0,0,9,9,168
0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,2,0,0,2,1,0,0,2,0,0,0,6,4,185
1,0,2,0,2,0,2,1,0,2,0,1,1,1,1,1,1,1,0,0,0,0,2,0,0,0,9,5,479
1,1,2,0,2,0,0,2,2,0,0,2,2,1,2,0,1,1,0,1,0,0,1,1,0,0,8,7,528
0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,4,3,55
0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,1,2,2,0,1,0,2,2,1,0,0,8,5,383
0,2,0,0,0,0,0,1,0,2,2,2,1,1,0,0,0,1,0,2,0,0,0,1,0,0,5,5,432
0,0,2,1,0,0,0,1,0,1,0,1,2,2,1,0,0,0,0,1,0,0,0,2,0,0,6,4,424
1,2,0,0,0,0,0,2,0,2,0,0,0,2,0,2,1,0,0,2,0,2,1,0,0,0,3,7,148
0,1,0,2,2,0,2,2,0,1,2,0,1,1,1,0,1,0,2,0,0,0,0,0,2,2,6,6,18
0,0,0,1,0,0,2,1,0,2,2,2,0,0,0,2,0,1,1,0,2,0,0,0,2,2,4,6,9
1,0,0,0,1,0,0,1,0,2,1,1,0,0,0,0,2,2,1,2,0,0,1,0,0,0,7,4,24
0,0,1,1,2,0,0,0,2,0,0,1,1,1,0,1,0,0,2,2,0,0,1,0,0,0,7,4,551
1,0,1,1,1,0,0,0,2,0,0,0,0,1,2,0,0,2,1,0,2,0,0,2,0,0,6,5,360
0,0,0,1,1,1,0,0,2,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,3,264
2,2,0,0,1,2,2,0,0,0,1,0,1,1,1,0,1,0,2,1,0,1,0,1,0,0,9,5,120
0,1,2,0,0,0,2,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,4,101
0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,3,4,308
2,1,0,0,2,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,1,1,1,3,3,6,4,3
0,2,1,0,0,2,0,1,2,2,2,2,2,0,0,0,2,2,0,0,0,0,1,1,0,0,4,9,119
1,2,0,0,1,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3,239
0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,0,4,3,119
1,0,0,2,2,0,1,1,1,0,1,2,2,1,0,1,2,1,0,2,0,1,0,0,0,0,9,6,167
